FY,Branch,Board,AZ_Eligible,AZ_Select ,Perc_AZ_Selects,PZ_Eligible,PZ_Select ,Perc_PZ_Selects,BZ_Eligible,BZ_Select ,Perc_BZ_Selects
2012,VC,COL,24,2,8.3,10,1,10.0,16,0,0.0
2012,VC,LTC,15,2,13.3,21,15,71.4,25,0,0.0
2012,VC,MAJ,3,1,33.3,17,16,94.1,33,0,0.0
2013,AN,COL,63,5,7.9,50,18,36.0,48,0,0.0
2013,AN,CPT,61,29,47.5,509,381,74.9,0,0,0.0
2013,AN,LTC,8,2,25.0,90,81,90.0,77,3,3.9
2013,AN,MAJ,8,5,62.5,168,149,88.7,173,5,2.9
2013,DC,COL,2,0,0.0,10,7,70.0,15,1,6.7
2013,DC,LTC,0,0,0.0,27,25,92.6,31,1,3.2
2013,DC,MAJ,0,0,0.0,62,61,98.4,0,0,0.0
2013,MC,COL,75,10,13.3,87,57,65.5,96,3,3.1
2013,MC,LTC,56,22,39.3,171,109,63.7,171,6,3.5
2013,MC,MAJ,38,21,55.3,298,288,96.6,0,0,0.0
2013,MS,COL,131,8,6.1,84,26,31.0,93,0,0.0
2013,MS,CPT,41,21,51.2,283,235,83.0,0,0,0.0
2013,MS,LTC,53,17,32.1,124,88,71.0,118,0,0.0
2013,MS,MAJ,33,7,21.2,207,170,82.1,278,9,3.2
2013,SP,COL,21,0,0.0,10,2,20.0,9,1,11.1
2013,SP,CPT,116,93,80.2,58,51,87.9,0,0,0.0
2013,SP,LTC,18,0,0.0,40,24,60.0,34,1,2.9
2013,SP,MAJ,59,13,22.0,106,53,50.0,112,1,0.9
2013,VC,COL,30,3,10.0,15,1,6.7,13,1,7.7
2013,VC,LTC,17,1,5.9,25,14,56.0,18,1,5.6
2013,VC,MAJ,3,1,33.3,29,25,86.2,41,2,4.9
2014,AN,COL,63,5,7.9,42,14,33.3,52,1,1.9
2014,AN,CPT,119,55,46.2,360,221,61.4,0,0,0.0
2014,AN,LTC,10,2,20.0,68,55,80.9,98,5,5.1
2014,AN,MAJ,18,0,0.0,162,141,87.0,152,4,2.6
2014,DC,COL,3,0,0.0,14,11,78.6,15,1,6.7
