branch,skill,board,AZ_Select ,AZ_Eligible,Perc_AZ_Selects,BZ_Select ,BZ_Eligible,Perc_BZ_Selects,PZ_Select ,PZ_Eligible,Perc_PZ_Selects
MC,62A,COL,0,1,0.0,2,7,28.6,4,4,100.0
MC,62B,COL,0,1,0.0,0,0,0.0,0,0,0.0
DC,63A,COL,0,2,0.0,0,1,0.0,1,2,50.0
DC,63B,COL,1,1,100.0,1,3,33.3,2,2,100.0
DC,63D,COL,0,0,0.0,0,1,0.0,2,2,100.0
DC,63E,COL,0,0,0.0,0,3,0.0,2,2,100.0
DC,63F,COL,0,1,0.0,0,0,0.0,2,2,100.0
DC,63H,COL,0,0,0.0,0,0,0.0,1,1,100.0
DC,63K,COL,0,0,0.0,0,1,0.0,1,1,100.0
DC,63M,COL,0,1,0.0,0,1,0.0,0,0,0.0
DC,63N,COL,0,0,0.0,0,1,0.0,0,0,0.0
DC,63P,COL,0,0,0.0,0,0,0.0,0,0,0.0
AN,66B,LTC,0,0,0.0,0,9,0.0,6,11,54.5
AN,66C,LTC,0,2,0.0,0,4,0.0,0,2,0.0
AN,66E,LTC,1,3,33.3,0,16,0.0,9,15,60.0
AN,66F,LTC,2,5,40.0,0,11,0.0,17,21,81.0
AN,66G,LTC,1,1,100.0,0,4,0.0,2,5,40.0
AN,66H,LTC,3,11,27.3,0,27,0.0,9,13,69.2
AN,66P,LTC,0,3,0.0,0,14,0.0,7,7,100.0
AN,66R,LTC,0,0,0.0,0,3,0.0,5,5,100.0
AN,66S,LTC,1,1,100.0,0,11,0.0,10,20,50.0
AN,66T,LTC,1,4,25.0,0,5,0.0,4,7,57.1
AN,66W,LTC,1,1,100.0,0,4,0.0,1,1,100.0
MS,67E,LTC,1,5,20.0,0,5,0.0,6,8,75.0
MS,67F,LTC,1,4,25.0,1,6,16.7,3,5,60.0
MS,67G,LTC,1,2,50.0,0,2,0.0,0,2,0.0
MS,67J,LTC,0,2,0.0,1,12,8.3,3,7,42.9
MS,70A,LTC,0,2,0.0,0,6,0.0,4,5,80.0
MS,70B,LTC,0,0,0.0,0,0,0.0,0,0,0.0
MS,70C,LTC,0,0,0.0,0,5,0.0,3,5,60.0
MS,70D,LTC,0,0,0.0,0,7,0.0,1,3,33.3
MS,70E,LTC,0,2,0.0,0,2,0.0,2,5,40.0
MS,70F,LTC,0,3,0.0,1,8,12.5,3,5,60.0
MS,70H,LTC,3,7,42.9,3,14,21.4,12,14,85.7
MS,70K,LTC,3,14,21.4,0,18,0.0,7,13,53.8
MS,71A,LTC,3,3,100.0,0,4,0.0,2,2,100.0
MS,71B,LTC,1,3,33.3,0,6,0.0,2,4,50.0
MS,71E,LTC,0,7,0.0,0,5,0.0,4,6,66.7
MS,71F,LTC,0,0,0.0,0,0,0.0,1,1,100.0
MS,72A,LTC,0,0,0.0,0,1,0.0,1,2,50.0
MS,72B,LTC,0,2,0.0,0,3,0.0,1,2,50.0
MS,72C,LTC,0,1,0.0,0,2,0.0,1,2,50.0
MS,72D,LTC,0,4,0.0,2,14,14.3,6,11,54.5
MS,73A,LTC,0,4,0.0,0,9,0.0,2,7,28.6
MS,73B,LTC,1,1,100.0,0,4,0.0,1,3,33.3
SP,65A,LTC,2,5,40.0,0,3,0.0,0,2,0.0
SP,65B,LTC,1,7,14.3,0,5,0.0,3,9,33.3
SP,65C,LTC,0,2,0.0,0,3,0.0,0,5,0.0
SP,65D,LTC,1,16,6.3,0,32,0.0,10,28,35.7
VC,64A,LTC,0,2,0.0,0,1,0.0,0,0,0.0
VC,64B,LTC,4,16,25.0,0,5,0.0,1,5,20.0
VC,64C,LTC,4,6,66.7,0,4,0.0,0,4,0.0
VC,64D,LTC,0,7,0.0,0,4,0.0,0,2,0.0
VC,64E,LTC,0,2,0.0,0,1,0.0,0,2,0.0
VC,64F,LTC,0,7,0.0,0,3,0.0,0,3,0.0
MC,60B,LTC,0,0,0.0,0,2,0.0,0,0,0.0
MC,60C,LTC,1,2,50.0,0,2,0.0,4,5,80.0
MC,60D,LTC,0,0,0.0,0,0,0.0,1,3,33.3
MC,60F,LTC,0,0,0.0,0,1,0.0,0,2,0.0
MC,60G,LTC,2,4,50.0,0,6,0.0,4,5,80.0
MC,60H,LTC,0,1,0.0,0,3,0.0,4,6,66.7
MC,60J,LTC,0,4,0.0,0,12,0.0,6,8,75.0
MC,60K,LTC,1,1,100.0,0,4,0.0,5,7,71.4
MC,60L,LTC,0,0,0.0,0,7,0.0,3,6,50.0
MC,60M,LTC,0,0,0.0,0,2,0.0,0,0,0.0
MC,60N,LTC,0,2,0.0,0,8,0.0,4,7,57.1
